id,cpuUsage,dataId,description,name,receivedDate,sendedDate,timeDiff
1,0,3981,description3981,name3981,2019-05-03 14:00:36.177000,2019-05-03 14:00:34.811000,1366
3,10,3983,description3983,name3983,2019-05-03 14:00:36.191000,2019-05-03 14:00:34.811000,1380
5,34.3,3985,description3985,name3985,2019-05-03 14:00:36.306000,2019-05-03 14:00:34.811000,1495
7,249.8,3984,description3984,name3984,2019-05-03 14:00:36.307000,2019-05-03 14:00:34.811000,1496
10,33.6,4030,description4030,name4030,2019-05-03 14:00:36.315000,2019-05-03 14:00:34.811000,1504
12,33.9,4033,description4033,name4033,2019-05-03 14:00:36.329000,2019-05-03 14:00:34.811000,1518
13,36.5,4032,description4032,name4032,2019-05-03 14:00:36.325000,2019-05-03 14:00:34.811000,1514
16,11.8,4036,description4036,name4036,2019-05-03 14:00:36.347000,2019-05-03 14:00:34.811000,1536
17,9.7,4037,description4037,name4037,2019-05-03 14:00:36.350000,2019-05-03 14:00:34.811000,1539
20,15.8,4057,description4057,name4057,2019-05-03 14:00:36.360000,2019-05-03 14:00:34.811000,1549
22,49.9,4060,description4060,name4060,2019-05-03 14:00:36.366000,2019-05-03 14:00:34.811000,1555
24,6.2,4062,description4062,name4062,2019-05-03 14:00:36.381000,2019-05-03 14:00:34.811000,1570
27,17,4064,description4064,name4064,2019-05-03 14:00:36.392000,2019-05-03 14:00:34.811000,1581
29,25.6,2,description2,name2,2019-05-03 14:00:36.395000,2019-05-03 14:00:34.810000,1585
31,15.6,4,description4,name4,2019-05-03 14:00:36.507000,2019-05-03 14:00:34.810000,1697
32,55.2,3972,description3972,name3972,2019-05-03 14:00:36.553000,2019-05-03 14:00:34.811000,1742
35,36.2,3974,description3974,name3974,2019-05-03 14:00:36.560000,2019-05-03 14:00:34.811000,1749
36,43.4,3975,description3975,name3975,2019-05-03 14:00:36.562000,2019-05-03 14:00:34.811000,1751
39,36.7,3978,description3978,name3978,2019-05-03 14:00:36.575000,2019-05-03 14:00:34.811000,1764
41,58.6,3979,description3979,name3979,2019-05-03 14:00:36.579000,2019-05-03 14:00:34.811000,1768
43,59.3,9,description9,name9,2019-05-03 14:00:36.586000,2019-05-03 14:00:34.810000,1776
45,22.9,7,description7,name7,2019-05-03 14:00:36.586000,2019-05-03 14:00:34.810000,1776
47,24.3,3936,description3936,name3936,2019-05-03 14:00:36.594000,2019-05-03 14:00:34.811000,1783
49,15.9,3938,description3938,name3938,2019-05-03 14:00:36.597000,2019-05-03 14:00:34.811000,1786
51,550,3940,description3940,name3940,2019-05-03 14:00:36.605000,2019-05-03 14:00:34.811000,1794
53,16,3942,description3942,name3942,2019-05-03 14:00:36.610000,2019-05-03 14:00:34.811000,1799
54,23.8,3953,description3953,name3953,2019-05-03 14:00:36.615000,2019-05-03 14:00:34.811000,1804
57,26.5,3956,description3956,name3956,2019-05-03 14:00:36.622000,2019-05-03 14:00:34.811000,1811
58,18.4,3955,description3955,name3955,2019-05-03 14:00:36.621000,2019-05-03 14:00:34.811000,1810
62,14.9,3959,description3959,name3959,2019-05-03 14:00:36.632000,2019-05-03 14:00:34.811000,1821
63,24.6,3961,description3961,name3961,2019-05-03 14:00:36.636000,2019-05-03 14:00:34.811000,1825
64,25.3,3944,description3944,name3944,2019-05-03 14:00:36.639000,2019-05-03 14:00:34.811000,1828
