id,cpuUsage,dataId,description,name,receivedDate,sendedDate,timeDiff
1,0.2,5,description5,name5,2019-05-03 14:10:59.150000,2019-05-03 14:10:58.142000,1008
2,13,11,description11,name11,2019-05-03 14:10:59.163000,2019-05-03 14:10:58.142000,1021
3,4.8,15,description15,name15,2019-05-03 14:10:59.166000,2019-05-03 14:10:58.142000,1024
4,5,17,description17,name17,2019-05-03 14:10:59.169000,2019-05-03 14:10:58.142000,1027
5,4.7,21,description21,name21,2019-05-03 14:10:59.172000,2019-05-03 14:10:58.142000,1030
6,5.9,23,description23,name23,2019-05-03 14:10:59.176000,2019-05-03 14:10:58.142000,1034
7,4.3,27,description27,name27,2019-05-03 14:10:59.179000,2019-05-03 14:10:58.142000,1037
8,4.5,34,description34,name34,2019-05-03 14:10:59.182000,2019-05-03 14:10:58.142000,1040
9,4.3,37,description37,name37,2019-05-03 14:10:59.185000,2019-05-03 14:10:58.142000,1043
10,4.4,43,description43,name43,2019-05-03 14:10:59.189000,2019-05-03 14:10:58.142000,1047
11,4.4,45,description45,name45,2019-05-03 14:10:59.192000,2019-05-03 14:10:58.142000,1050
12,4,47,description47,name47,2019-05-03 14:10:59.195000,2019-05-03 14:10:58.142000,1053
13,4.1,48,description48,name48,2019-05-03 14:10:59.199000,2019-05-03 14:10:58.142000,1057
14,3.6,52,description52,name52,2019-05-03 14:10:59.203000,2019-05-03 14:10:58.142000,1061
15,4.7,54,description54,name54,2019-05-03 14:10:59.207000,2019-05-03 14:10:58.142000,1065
16,7,55,description55,name55,2019-05-03 14:10:59.211000,2019-05-03 14:10:58.142000,1069
17,4.1,56,description56,name56,2019-05-03 14:10:59.214000,2019-05-03 14:10:58.142000,1072
18,3.7,61,description61,name61,2019-05-03 14:10:59.218000,2019-05-03 14:10:58.142000,1076
19,4.9,63,description63,name63,2019-05-03 14:10:59.221000,2019-05-03 14:10:58.142000,1079
20,3.8,72,description72,name72,2019-05-03 14:10:59.225000,2019-05-03 14:10:58.142000,1083
21,2.1,76,description76,name76,2019-05-03 14:10:59.232000,2019-05-03 14:10:58.142000,1090
22,4,82,description82,name82,2019-05-03 14:10:59.235000,2019-05-03 14:10:58.142000,1093
23,3.9,89,description89,name89,2019-05-03 14:10:59.239000,2019-05-03 14:10:58.142000,1097
24,3.7,93,description93,name93,2019-05-03 14:10:59.243000,2019-05-03 14:10:58.142000,1101
25,3.7,98,description98,name98,2019-05-03 14:10:59.246000,2019-05-03 14:10:58.142000,1104
26,4.2,106,description106,name106,2019-05-03 14:10:59.250000,2019-05-03 14:10:58.142000,1108
27,4.2,125,description125,name125,2019-05-03 14:10:59.254000,2019-05-03 14:10:58.142000,1112
28,4,131,description131,name131,2019-05-03 14:10:59.257000,2019-05-03 14:10:58.142000,1115
29,8.2,134,description134,name134,2019-05-03 14:10:59.261000,2019-05-03 14:10:58.142000,1119
30,27.9,137,description137,name137,2019-05-03 14:10:59.266000,2019-05-03 14:10:58.142000,1124
31,7.5,144,description144,name144,2019-05-03 14:10:59.270000,2019-05-03 14:10:58.142000,1128
