id,cpuUsage,dataId,description,name,receivedDate,sendedDate,timeDiff
1,0,0,description0,name0,2019-05-03 14:09:39.580000,2019-05-03 14:09:38.982000,598
2,21.9,1,description1,name1,2019-05-03 14:09:39.678000,2019-05-03 14:09:38.982000,696
3,11.6,2,description2,name2,2019-05-03 14:09:39.689000,2019-05-03 14:09:38.982000,707
4,13.5,3,description3,name3,2019-05-03 14:09:39.695000,2019-05-03 14:09:38.982000,713
5,20.6,4,description4,name4,2019-05-03 14:09:39.700000,2019-05-03 14:09:38.982000,718
6,29.7,5,description5,name5,2019-05-03 14:09:39.708000,2019-05-03 14:09:38.982000,726
7,12.5,6,description6,name6,2019-05-03 14:09:39.714000,2019-05-03 14:09:38.982000,732
8,25.7,7,description7,name7,2019-05-03 14:09:39.722000,2019-05-03 14:09:38.982000,740
9,14,8,description8,name8,2019-05-03 14:09:39.727000,2019-05-03 14:09:38.982000,745
10,27.3,9,description9,name9,2019-05-03 14:09:39.734000,2019-05-03 14:09:38.982000,752
11,37.1,10,description10,name10,2019-05-03 14:09:39.740000,2019-05-03 14:09:38.982000,758
12,23.4,11,description11,name11,2019-05-03 14:09:39.745000,2019-05-03 14:09:38.982000,763
13,17.8,12,description12,name12,2019-05-03 14:09:39.751000,2019-05-03 14:09:38.982000,769
14,11.4,13,description13,name13,2019-05-03 14:09:39.757000,2019-05-03 14:09:38.982000,775
15,23.2,14,description14,name14,2019-05-03 14:09:39.763000,2019-05-03 14:09:38.982000,781
16,14.4,15,description15,name15,2019-05-03 14:09:39.770000,2019-05-03 14:09:38.982000,788
17,15.6,16,description16,name16,2019-05-03 14:09:39.779000,2019-05-03 14:09:38.982000,797
18,7.4,17,description17,name17,2019-05-03 14:09:39.786000,2019-05-03 14:09:38.982000,804
19,12.9,18,description18,name18,2019-05-03 14:09:39.792000,2019-05-03 14:09:38.982000,810
20,15.2,19,description19,name19,2019-05-03 14:09:39.800000,2019-05-03 14:09:38.982000,818
21,8.5,20,description20,name20,2019-05-03 14:09:39.806000,2019-05-03 14:09:38.982000,824
22,17.8,21,description21,name21,2019-05-03 14:09:39.814000,2019-05-03 14:09:38.982000,832
23,14.2,22,description22,name22,2019-05-03 14:09:39.824000,2019-05-03 14:09:38.982000,842
24,11,23,description23,name23,2019-05-03 14:09:39.833000,2019-05-03 14:09:38.982000,851
25,12,24,description24,name24,2019-05-03 14:09:39.839000,2019-05-03 14:09:38.982000,857
26,16.6,25,description25,name25,2019-05-03 14:09:39.849000,2019-05-03 14:09:38.982000,867
27,13.4,26,description26,name26,2019-05-03 14:09:39.857000,2019-05-03 14:09:38.982000,875
28,15.4,27,description27,name27,2019-05-03 14:09:39.867000,2019-05-03 14:09:38.982000,885
29,15.9,28,description28,name28,2019-05-03 14:09:39.875000,2019-05-03 14:09:38.982000,893
30,11.7,29,description29,name29,2019-05-03 14:09:39.881000,2019-05-03 14:09:38.982000,899
31,13.9,30,description30,name30,2019-05-03 14:09:39.890000,2019-05-03 14:09:38.982000,908
32,17.5,31,description31,name31,2019-05-03 14:09:39.900000,2019-05-03 14:09:38.982000,918
33,19.8,32,description32,name32,2019-05-03 14:09:39.907000,2019-05-03 14:09:38.982000,925
34,24.5,33,description33,name33,2019-05-03 14:09:39.914000,2019-05-03 14:09:38.982000,932
35,14,34,description34,name34,2019-05-03 14:09:39.923000,2019-05-03 14:09:38.982000,941
36,11.2,35,description35,name35,2019-05-03 14:09:39.928000,2019-05-03 14:09:38.982000,946
37,14.3,36,description36,name36,2019-05-03 14:09:39.933000,2019-05-03 14:09:38.982000,951
38,22.9,37,description37,name37,2019-05-03 14:09:39.938000,2019-05-03 14:09:38.982000,956
39,9.2,38,description38,name38,2019-05-03 14:09:39.945000,2019-05-03 14:09:38.982000,963
40,12.3,39,description39,name39,2019-05-03 14:09:39.951000,2019-05-03 14:09:38.982000,969
41,18.9,40,description40,name40,2019-05-03 14:09:39.958000,2019-05-03 14:09:38.982000,976
42,18.4,41,description41,name41,2019-05-03 14:09:39.964000,2019-05-03 14:09:38.982000,982
43,11.8,42,description42,name42,2019-05-03 14:09:39.971000,2019-05-03 14:09:38.982000,989
44,11.4,43,description43,name43,2019-05-03 14:09:39.987000,2019-05-03 14:09:38.982000,1005
45,11.2,44,description44,name44,2019-05-03 14:09:39.994000,2019-05-03 14:09:38.982000,1012
46,8.5,45,description45,name45,2019-05-03 14:09:40.001000,2019-05-03 14:09:38.982000,1019
47,26.1,46,description46,name46,2019-05-03 14:09:40.006000,2019-05-03 14:09:38.982000,1024
48,24.7,47,description47,name47,2019-05-03 14:09:40.012000,2019-05-03 14:09:38.982000,1030
49,13.3,48,description48,name48,2019-05-03 14:09:40.018000,2019-05-03 14:09:38.982000,1036
50,5,49,description49,name49,2019-05-03 14:09:40.027000,2019-05-03 14:09:38.982000,1045
51,15,50,description50,name50,2019-05-03 14:09:40.033000,2019-05-03 14:09:38.982000,1051
52,12.5,51,description51,name51,2019-05-03 14:09:40.039000,2019-05-03 14:09:38.982000,1057
53,15.2,52,description52,name52,2019-05-03 14:09:40.045000,2019-05-03 14:09:38.982000,1063
54,19.5,53,description53,name53,2019-05-03 14:09:40.055000,2019-05-03 14:09:38.982000,1073
55,11.1,54,description54,name54,2019-05-03 14:09:40.063000,2019-05-03 14:09:38.982000,1081
56,29.1,55,description55,name55,2019-05-03 14:09:40.073000,2019-05-03 14:09:38.982000,1091
57,13.7,56,description56,name56,2019-05-03 14:09:40.080000,2019-05-03 14:09:38.982000,1098
58,17.5,57,description57,name57,2019-05-03 14:09:40.089000,2019-05-03 14:09:38.982000,1107
59,12.9,58,description58,name58,2019-05-03 14:09:40.097000,2019-05-03 14:09:38.982000,1115
60,10.7,59,description59,name59,2019-05-03 14:09:40.108000,2019-05-03 14:09:38.982000,1126
61,9.2,60,description60,name60,2019-05-03 14:09:40.114000,2019-05-03 14:09:38.982000,1132
62,9.5,61,description61,name61,2019-05-03 14:09:40.126000,2019-05-03 14:09:38.982000,1144
63,8.2,62,description62,name62,2019-05-03 14:09:40.136000,2019-05-03 14:09:38.982000,1154
64,16.4,63,description63,name63,2019-05-03 14:09:40.146000,2019-05-03 14:09:38.982000,1164
65,22.6,64,description64,name64,2019-05-03 14:09:40.156000,2019-05-03 14:09:38.982000,1174
66,9.4,65,description65,name65,2019-05-03 14:09:40.165000,2019-05-03 14:09:38.982000,1183
67,5,66,description66,name66,2019-05-03 14:09:40.176000,2019-05-03 14:09:38.982000,1194
